id,issue,evidence,evidence_probability,gain_metric,estimated_gain_value,remediation_class,affected_files,confidence,estimated_gain_score,estimated_gain,effort_kloc,priority,priority_formula,difficulty_basis,status,difficulty
root_cause::unstable_feature_importance,"Importance rankings do not reproduce across the 4 walk-forward folds: mean pairwise Spearman -0.0018 over 38 ranked features is -0.01 standard errors above zero (standard error 0.1644, one-sided p=0.5044), which does not reach alpha 0.05; least stable is home_fip at stability 0.0 with fold ranks [4, 1, 35, 34].","{""mean_pairwise_spearman"": -0.0018, ""spearman_standard_error"": 0.1644, ""p_value"": 0.504368, ""ranked_features"": 38, ""least_stable"": [{""feature"": ""home_fip"", ""stability"": 0.0, ""fold_ranks"": [4, 1, 35, 34]}, {""feature"": ""home_L10_ra"", ""stability"": 0.0779, ""fold_ranks"": [6, 3, 3, 38]}, {""feature"": ""away_bat_k_rate"", ""stability"": 0.078, ""fold_ranks"": [34, 35, 4, 6]}, {""feature"": ""home_bat_iso"", ""stability"": 0.1036, ""fold_ranks"": [2, 37, 2, 17]}, {""feature"": ""away_L10_wr"", ""stability"": 0.1206, ""fold_ranks"": [3, 6, 37, 26]}, {""feature"": ""away_xwoba_against"", ""stability"": 0.1857, ""fold_ranks"": [1, 7, ",0.504368,rate,0.6052631578947368,retrain,"['pipeline/train_moneyline.py', 'pipeline/train_common.py']",Low,0.6053,Medium,0.356,85.75,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","356 non-blank source lines measured across 2 file(s): pipeline/train_moneyline.py (101 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
consistency::shadow_uses_registered_model_version,Self-consistency check 'shadow_uses_registered_model_version' failed,"shadow_v2_predictions holds 14 rows but has no model_version column, so shadow predictions cannot be attributed to a registered model version",1.0,rate,1.0,code_fix,"['pipeline/engineering_audit.py', 'services/shadow_inference_service.py', 'pipeline/model_registry.py']",High,1.0,High,1.918,52.14,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","1918 non-blank source lines measured across 3 file(s): pipeline/engineering_audit.py (1635 lines), services/shadow_inference_service.py (127 lines), pipeline/model_registry.py (156 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,High
consistency::no_duplicated_metric_implementations,Self-consistency check 'no_duplicated_metric_implementations' failed,"reimplementations found outside pipeline/calibration_common.py: [{'file': 'projects/pitcher_props/services/pitcher_prop_analytics_service.py', 'function': 'brier_score'}, {'file': 'projects/pitcher_props/services/pitcher_prop_analytics_service.py', 'function': 'expected_calibration_error'}]",1.0,rate,1.0,code_fix,"['pipeline/engineering_audit.py', 'services/shadow_inference_service.py', 'pipeline/model_registry.py']",High,1.0,High,1.918,52.14,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","1918 non-blank source lines measured across 3 file(s): pipeline/engineering_audit.py (1635 lines), services/shadow_inference_service.py (127 lines), pipeline/model_registry.py (156 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,High
root_cause::insufficient_evaluation_power,"On 814 held-out rows the model's log-loss improvement over a base-rate constant predictor is +0.003436 with a bootstrap 95% interval of -0.008078–+0.012980 over 400 resamples, an interval that contains zero (p=0.2530); no finding in this report that depends on that skill is separable from resampling noise at this sample size.","{""log_loss_skill"": 0.003436, ""bootstrap_standard_error"": 0.005165, ""ci_lower"": -0.008078, ""ci_upper"": 0.01298, ""resamples"": 400, ""z"": 0.665, ""p_value"": 0.252957, ""method"": ""non-parametric bootstrap over evaluation rows of the log-loss improvement over a base-rate constant predictor; the evaluation set is underpowered when this improvement is not separable from zero at the 95% level""}",0.252957,rate,0.6605821030023018,new_data_acquisition,"['pipeline/build_features_v2.py', 'pipeline/dataset_append.py']",Low,0.6606,Medium,0.611,27.35,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","611 non-blank source lines measured across 2 file(s): pipeline/build_features_v2.py (410 lines), pipeline/dataset_append.py (201 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",BLOCKED,Low
root_cause::feature_set_quality,3 of 38 features carry a non-KEEP engineering verdict: home_bat_woba=RE-ENCODE; is_coors=RE-ENCODE; park_factor=RE-ENCODE.,"{""features"": [{""feature"": ""home_bat_woba"", ""verdict"": ""RE-ENCODE"", ""mean_rank"": 26.67, ""stability"": 0.4203, ""outcome_correlation"": 0.0714, ""method_agreement"": 0.864, ""lofo_log_loss_delta"": -9.1e-05}, {""feature"": ""is_coors"", ""verdict"": ""RE-ENCODE"", ""mean_rank"": 26.67, ""stability"": 0.3949, ""outcome_correlation"": -0.0713, ""method_agreement"": 0.2661, ""lofo_log_loss_delta"": -0.000485}, {""feature"": ""park_factor"", ""verdict"": ""RE-ENCODE"", ""mean_rank"": 30.67, ""stability"": 0.4722, ""outcome_correlation"": -0.0668, ""method_agreement"": 0.7226, ""lofo_log_loss_delta"": -0.001284}]}",0.617567,rate,0.07894736842105263,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py', 'pipeline/train_moneyline.py']",Low,0.0789,Low,0.952,5.12,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","952 non-blank source lines measured across 3 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines), pipeline/train_moneyline.py (101 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,High
feature_verdict::park_factor,Feature 'park_factor' verdict RE-ENCODE,"point-biserial correlation with outcome -0.0668 exceeds 0.05 but mean_rank 30.67/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.001284)",0.7226,log_loss,0.001284,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0019,Low,0.851,0.16,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","851 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
feature_verdict::home_is_lefty,Feature 'home_is_lefty' verdict INVESTIGATE,"rank stability 0.4155 < 0.5 across 4 walk-forward folds (fold ranks [21, 26, 11, 37]), mean_rank 30.67/38, agreement Low",0.4532,log_loss,0.001337,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.002,Low,0.851,0.1,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","851 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
feature_verdict::wind_mph,Feature 'wind_mph' verdict INVESTIGATE,"rank stability 0.3127 < 0.5 across 4 walk-forward folds (fold ranks [9, 16, 38, 15]), mean_rank 29.0/38, agreement Medium",0.714,log_loss,0.000392,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0006,Low,0.851,0.05,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","851 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
feature_verdict::away_bb_rate,Feature 'away_bb_rate' verdict INVESTIGATE,"rank stability 0.4062 < 0.5 across 4 walk-forward folds (fold ranks [33, 38, 13, 24]), mean_rank 18.0/38, agreement Low",0.0575,log_loss,0.00153,retrain,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0022,Low,0.851,0.02,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","851 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
feature_verdict::is_coors,Feature 'is_coors' verdict RE-ENCODE,"point-biserial correlation with outcome -0.0713 exceeds 0.05 but mean_rank 26.67/38 sits below the median, so the raw encoding carries signal the model is not extracting (ablation delta -0.000485)",0.2661,log_loss,0.000485,feature_engineering,"['pipeline/feature_store.py', 'pipeline/train_common.py']",Low,0.0007,Low,0.851,0.02,"priority = 100 * relative_impact * evidence_probability / effort_kloc, where relative_impact is this run's measured gain as a share of the affected metric's current value, evidence_probability is 1 - p of the test that produced the finding, and effort_kloc is the measured non-blank source lines of the files the fix touches","851 non-blank source lines measured across 2 file(s): pipeline/feature_store.py (596 lines), pipeline/train_common.py (255 lines); ranked against this run's 18 backlog items, whose measured effort splits at 0.851 and 0.851 kLOC",IN_PROGRESS,Low
